Publication number,Family ID,Owner,title,Patenting date,Patent status,Impact score,Google link
US-8597873-B2,48467274,Toshiba Corp,Method for pattern formation,11/28/2011,Active,0.397176324,https://patents.google.com/patent/US8597873B2
US-8598634-B1,49640733,International Business Machines Corp,Graphene-based efuse device,7/31/2012,Expired - Fee Related,0.416560383,https://patents.google.com/patent/US8598634B1
US-8599894-B2,47261649,Renesas Electronics Corp,Semiconductor laser manufacturing method and semiconductor laser,5/31/2011,Active,0.45475754,https://patents.google.com/patent/US8599894B2
US-8603347-B2,44085737,Tsinghua University,Method for forming recess defect on carbon nanotube,12/31/2010,Active,0.325328287,https://patents.google.com/patent/US8603347B2
US-8604459-B1,49681522,Lockheed Martin Corp,Electrical devices containing a carbon nanotube switching layer with a passivation layer disposed thereon and methods for production thereof,7/13/2011,Active,0.471959435,https://patents.google.com/patent/US8604459B1
US-8605492-B2,46927107,Toshiba Corp,"Memory device, recording method, and recording and reproducing method",3/28/2011,Expired - Fee Related,0.393919256,https://patents.google.com/patent/US8605492B2
US-8609008-B2,46600111,Canon Inc,"Mold, imprint method, and method of manufacturing article",2/7/2011,Active,0.662851014,https://patents.google.com/patent/US8609008B2
US-8609061-B2,45871239,Tsinghua University,Carbon nanotube array and method for making same,9/28/2010,Active,0.354692827,https://patents.google.com/patent/US8609061B2
US-8609068-B2,44209705,Jm Huber Corp,Continuous silica production process and silica product prepared from same,2/24/2010,Active,0.513146516,https://patents.google.com/patent/US8609068B2
US-8609458-B2,46207786,California Institute Of Technology ,Method for producing graphene oxide with tunable gap,12/10/2010,Active,0.84668636,https://patents.google.com/patent/US8609458B2
US-8611070-B2,45021953,Basf Se,Process for encapsulating metals and metal oxides with graphene and the use of these materials,5/14/2010,Active,0.998944068,https://patents.google.com/patent/US8611070B2
US-8614152-B2,47218677,United Microelectronics Corp,Gate structure and a method for forming the same,5/25/2011,Active,0.388315538,https://patents.google.com/patent/US8614152B2
US-8617970-B2,44563379,Canon Inc,Method of manufacturing semiconductor device,3/11/2010,Expired - Fee Related,0.689810374,https://patents.google.com/patent/US8617970B2
US-8618516-B2,46063451,Canon Inc,Charged-particle beam exposure apparatus and method of manufacturing article,11/19/2010,Expired - Fee Related,0.603299549,https://patents.google.com/patent/US8618516B2
US-8619393-B2,47712484,Seagate Technology Llc,Devices and methods using recessed electron spin analyzers,8/16/2011,Active,0.656780583,https://patents.google.com/patent/US8619393B2
US-8621661-B2,46507289,Korea Research Institute Of Standards And Science Kriss,Electrical-mechanical complex sensor for nanomaterials,1/10/2011,Active,0.372841469,https://patents.google.com/patent/US8621661B2
US-8623163-B2,47292130,Shih Hua Technology Ltd,Method for making touch panel,6/9/2011,Active,0.342168417,https://patents.google.com/patent/US8623163B2
US-8623258-B2,42741681,Beijing Funate Innovation Technology Co Ltd,Method for making carbon nanotube film,4/2/2010,Active,0.461465573,https://patents.google.com/patent/US8623258B2
US-8623506-B2,47362121,Empire Technology Development Llc,Non-covalently bonding anti-microbial nanoparticles for water soluble wood treatment,6/22/2011,Active,0.386463519,https://patents.google.com/patent/US8623506B2
US-8623555-B2,47219422,Vanderbilt University,Electrode useable in electrochemical cell and method of making same,5/27/2011,Active,0.493725762,https://patents.google.com/patent/US8623555B2
US-8628686-B2,44863295,Toshiba Corp,Process for production of fluorescent substance,8/31/2010,Active,0.494431603,https://patents.google.com/patent/US8628686B2
US-8629428-B2,45715334,Katholieke Universiteit Leuven,Line-tunneling tunnel field-effect transistor (tfet) and manufacturing method,5/23/2011,Active,0.842580119,https://patents.google.com/patent/US8629428B2
US-8632745-B1,49919210,Utbattelle Llc,Method and apparatus for controlling stoichiometry in multicomponent materials,12/21/2012,Active,0.403394645,https://patents.google.com/patent/US8632745B1
US-8636914-B2,47910095,Toshiba Corp,Method of forming pattern,9/26/2011,Active,0.856446053,https://patents.google.com/patent/US8636914B2
US-8636925-B2,47177151,Lg Chem Ltd,Compound semiconductors and their application,5/13/2011,Active,0.342766198,https://patents.google.com/patent/US8636925B2
US-8637851-B2,47005769,Korea Advanced Institute Of Science And Technology Kaist,Graphene device having physical gap,4/12/2011,Active,0.459710995,https://patents.google.com/patent/US8637851B2
US-8642214-B2,47744182,Uchicago Argonne Llc,Silicon-carbonaceous encapsulated materials,8/25/2011,Active,0.535193985,https://patents.google.com/patent/US8642214B2
US-8647894-B2,47562264,Intermolecular Inc,Method for generating graphene structures,12/9/2011,Expired - Fee Related,0.992610362,https://patents.google.com/patent/US8647894B2
US-8651048-B2,44858685,University Of North Texas,Controlled deposition of metal and metal cluster ions by surface field patterning in soft-landing devices,4/21/2010,Active,0.416585906,https://patents.google.com/patent/US8651048B2
US-8652375-B2,48467137,3M Innovative Properties Co,Method and apparatus for making scrolls from exfoliatable materials,11/29/2011,Active,0.371574113,https://patents.google.com/patent/US8652375B2
US-8662085-B2,44503084,Siemens Ag,Magnetic nanoparticle and group of nanoparticles,3/2/2010,Active,0.369795439,https://patents.google.com/patent/US8662085B2
US-8662879-B2,46063603,National Taiwan University Of Science And Technology,Micro/nano imprint mold of the fabricating process,11/18/2010,Expired - Fee Related,0.373271967,https://patents.google.com/patent/US8662879B2
US-8663745-B2,45064948,Canon Inc,Film-forming method based on lb method,6/4/2010,Expired - Fee Related,0.343546442,https://patents.google.com/patent/US8663745B2
US-8664127-B2,45934510,Applied Materials Inc,Two silicon-containing precursors for gapfill enhancing dielectric liner,10/15/2010,Active,0.464151783,https://patents.google.com/patent/US8664127B2
US-8665429-B2,49714517,Tsinghua University,Method for measuring light intensity distribution,6/12/2012,Active,0.300239883,https://patents.google.com/patent/US8665429B2
US-8665559-B2,49157916,Hewlett Packard Development Co Lp,Magnetic head,3/19/2012,Active,0.43078421,https://patents.google.com/patent/US8665559B2
US-8665581-B2,44542815,Applied Nanostructured Solutions Llc,Spiral wound electrical devices containing carbon nanotube-infused electrode materials and methods and apparatuses for production thereof,3/2/2010,Active,0.554480463,https://patents.google.com/patent/US8665581B2
US-8672246-B2,45593284,Korea Advanced Institute Of Science And Technology Kaist,Method for purifying graphene powder,8/18/2010,Active,0.623046836,https://patents.google.com/patent/US8672246B2
US-8672661-B2,46600112,Canon Inc,Imprint apparatus and article manufacturing method,2/7/2011,Expired - Fee Related,0.691561397,https://patents.google.com/patent/US8672661B2
US-8673120-B2,46379785,Jefferson Science Associates Llc,Efficient boron nitride nanotube formation via combined laser-gas flow levitation,1/4/2011,Active,0.610280701,https://patents.google.com/patent/US8673120B2
US-8673259-B2,44911958,Solarno Inc,Apparatus and method for substrate and gas heating during chemical vapor deposition nanotube synthesis,5/11/2010,Active,0.65184466,https://patents.google.com/patent/US8673259B2
US-8673793-B2,45607379,Innovalight Inc,Method for automatic offset calculation for deposition of an aligned metal pattern onto selective emitter pattern and subsequent monitoring of alignment,1/25/2011,Expired - Fee Related,0.408201939,https://patents.google.com/patent/US8673793B2
US-8674329-B2,44512800,Carl Zeiss Smt Gmbh,Method and apparatus for analyzing and/or repairing of an euv mask defect,6/23/2010,Active,0.826384192,https://patents.google.com/patent/US8674329B2
US-8678808-B2,45924508,Canon Inc,Imprint apparatus and article manufacturing method,10/8/2010,Active,0.906490705,https://patents.google.com/patent/US8678808B2
US-8679445-B1,50288788,Sun Harmonics Ltd,,11/14/2013,Active,0.652554254,https://patents.google.com/patent/US8679445B1
US-8679716-B2,48172771,Kyocera Document Solutions Inc,Two-component developer,11/2/2011,Active,0.440939644,https://patents.google.com/patent/US8679716B2
US-8685286-B2,47293470,Cfd Research Corp,,6/8/2011,Active,0.272177863,https://patents.google.com/patent/US8685286B2
US-8685780-B2,44751595,Hyundai Motor Co,Method for manufacturing flexible organic thin film solar cell by ion beam treatment and solar cell manufactured by the same,4/27/2010,Active,0.412860164,https://patents.google.com/patent/US8685780B2
US-8685788-B2,45914276,Fudan University,Nanowire tunneling field effect transistor with vertical structure and a manufacturing method thereof,10/13/2011,Expired - Fee Related,0.659546535,https://patents.google.com/patent/US8685788B2
US-8685841-B2,47020585,University Of Maryland College Park,Methods for the production of nanoscale heterostructures,3/26/2011,Active,0.500738384,https://patents.google.com/patent/US8685841B2
US-8691324-B2,49235426,Xerox Corp,Dry coating processes for substrates,4/3/2012,Active,0.666719731,https://patents.google.com/patent/US8691324B2
US-8691441-B2,45770968,Nanotek Instruments Inc,Graphene-enhanced cathode materials for lithium batteries,9/7/2010,Active,0.999503497,https://patents.google.com/patent/US8691441B2
US-8691935-B2,44673854,Aeonclad Coatings Llc,Methods and manufactures related to encapsulation of silica aerogel powder,3/23/2010,Active,0.911354721,https://patents.google.com/patent/US8691935B2
US-8692230-B2,46926022,University Of Southern California Usc,High performance field-effect transistors,3/29/2011,Active,0.900960128,https://patents.google.com/patent/US8692230B2
US-8692235-B2,44088487,National Cheng Kung University,Organic photoelectric semiconductor device and method for fabricating the same,3/22/2010,Active,0.547411602,https://patents.google.com/patent/US8692235B2
US-8697466-B2,48022483,Sharp Corp,,10/7/2011,Active,0.610019041,https://patents.google.com/patent/US8697466B2
US-8697469-B2,50099434,National Chiao Tung University,Protein transistor device,8/17/2012,Active,0.448607313,https://patents.google.com/patent/US8697469B2
US-8698095-B2,46455523,Canon Inc,Charged particle beam drawing apparatus and article manufacturing method,1/7/2011,Expired - Fee Related,0.517120435,https://patents.google.com/patent/US8698095B2
US-8703640-B2,49914468,National Tsing Hua University Nthu,Method for preparing nano-scale platinum,7/13/2012,Active,0.317326027,https://patents.google.com/patent/US8703640B2
US-8709368-B2,46855667,Shenzhen Sunxing Light Alloy Materials Co Ltd,Preparation process of transition metal boride and uses thereof,5/30/2012,Active,0.516381073,https://patents.google.com/patent/US8709368B2
US-8709654-B2,47744183,Semiconductor Energy Laboratory Co Ltd,Power storage device and method for manufacturing the same,8/31/2011,Active,0.543945717,https://patents.google.com/patent/US8709654B2
US-8709953-B2,48172846,Applied Materials Inc,Pulsed plasma with low wafer temperature for ultra thin layer etches,10/27/2011,Active,0.660518001,https://patents.google.com/patent/US8709953B2
US-8709955-B2,47744327,Toshiba Corp,Pattern transfer apparatus and method for fabricating semiconductor device,8/31/2011,Active,0.519012145,https://patents.google.com/patent/US8709955B2
US-8709964-B2,45807274,Basf Se,Process for producing a carbon-comprising support,9/14/2010,Expired - Fee Related,0.942721646,https://patents.google.com/patent/US8709964B2
US-8715609-B2,45463232,Boeing Co,Augmented reactor for chemical vapor deposition of ultra-long carbon nanotubes,12/14/2010,Active,0.304170318,https://patents.google.com/patent/US8715609B2
US-8715892-B2,47830125,Hoya Corp,"Mask blank, transfer mask, method of manufacturing a transfer mask, and method of manufacturing a semiconductor device",9/14/2011,Active,0.444420402,https://patents.google.com/patent/US8715892B2
US-8716174-B2,44647741,Fujifilm Corp,Method for producing fine metal hydroxide particles,3/19/2010,Active,0.456082904,https://patents.google.com/patent/US8716174B2
US-8716695-B2,48743294,International Business Machines Corp,Compressive (pfet) and tensile (nfet) channel strain in nanowire fets fabricated with a replacement gate process,1/5/2012,Active,0.92042041,https://patents.google.com/patent/US8716695B2
US-8721763-B2,50024175,National Chung Shan Institute Of Science And Technology,Method for separating metal nanoparticles from colloidal metal solution,8/1/2012,Active,0.429160495,https://patents.google.com/patent/US8721763B2
US-8721843-B2,45933153,Cedar Ridge Research Llc,Method for producing graphene in a magnetic field,10/15/2010,Active,0.696852008,https://patents.google.com/patent/US8721843B2
US-8721923-B2,44352948,Research Foundation Of State University Of New York,Metal sulfide and rare-earth phosphate nanostructures and methods of making same,1/15/2010,Active,0.79014654,https://patents.google.com/patent/US8721923B2
US-8721980-B2,47757244,Altmerge Llc,Systems and methods of producing chemical compounds,3/30/2011,Active,0.495762103,https://patents.google.com/patent/US8721980B2
US-8722492-B2,44257833,International Business Machines Corp,Nanowire pin tunnel field effect devices,1/8/2010,Active,0.846413177,https://patents.google.com/patent/US8722492B2
US-8723159-B2,46636202,Invenlux Corp,"Defect-controlling structure for epitaxial growth, light emitting device containing defect-controlling structure, and method of forming the same",2/15/2011,Active,0.566234562,https://patents.google.com/patent/US8723159B2
US-8727827-B2,50433023,Tsinghua University,Method for making field emission electron source,10/10/2012,Active,0.359135886,https://patents.google.com/patent/US8727827B2
US-8728418-B2,44127060,Fujifilm Corp,Method for producing metal hydroxide fine particle,3/26/2010,Active,0.776814397,https://patents.google.com/patent/US8728418B2
US-8728578-B2,44912022,Research Foundation Of State University Of New York,Chemical synthesis for graphene sheets greater than 1 μm in length,5/13/2010,Active,0.527951887,https://patents.google.com/patent/US8728578B2
US-8728720-B2,45352879,University Of California,Arbitrary pattern direct nanostructure fabrication methods and system,6/8/2010,Active,0.739675276,https://patents.google.com/patent/US8728720B2
US-8728917-B2,46691679,Tokyo Electron Ltd,Carbon nanotube forming method and pre-treatment method therefor,2/25/2011,Active,0.654839535,https://patents.google.com/patent/US8728917B2
US-8729575-B2,46794702,Toshiba Corp,Semiconductor light emitting device and manufacturing method of the same,3/8/2011,Expired - Fee Related,0.332540891,https://patents.google.com/patent/US8729575B2
US-8734546-B2,48609023,Mcalister Technologies Llc,Geothermal energization of a non-combustion chemical reactor and associated systems and methods,8/12/2011,Expired - Fee Related,0.609477739,https://patents.google.com/patent/US8734546B2
US-8734676-B2,44834661,Lg Chem Ltd,Carbon-coated lithium iron phosphate of olivine crystal structure and lithium secondary battery using the same,4/21/2010,Active,0.519086182,https://patents.google.com/patent/US8734676B2
US-8741199-B2,46313068,Qingdao Technological University,Method and device for full wafer nanoimprint lithography,12/22/2010,Active,0.673606044,https://patents.google.com/patent/US8741199B2
US-8741751-B2,50065513,International Business Machines Corp,Double contacts for carbon nanotubes thin film devices,8/10/2012,Active,0.402407941,https://patents.google.com/patent/US8741751B2
US-8741756-B2,50065508,International Business Machines Corp,Contacts-first self-aligned carbon nanotube transistor with gate-all-around,8/13/2012,Active,0.490684824,https://patents.google.com/patent/US8741756B2
US-8742478-B2,48206709,Samsung Electronics Co Ltd,"Graphene transistor having air gap, hybrid transistor having the same, and methods of fabricating the same",11/2/2011,Active,0.553111489,https://patents.google.com/patent/US8742478B2
US-8747092-B2,44308354,Nanonex Corp,Fast nanoimprinting apparatus using deformale mold,1/22/2010,Active,0.653738042,https://patents.google.com/patent/US8747092B2
US-8747790-B2,44761057,Utbattelle Llc,Advanced dry head-end reprocessing of light water reactor spent nuclear fuel,4/9/2010,Active,0.617283191,https://patents.google.com/patent/US8747790B2
US-8747947-B2,47880887,Empire Technology Development Llc,Graphene defect alteration,9/16/2011,Active,0.550170351,https://patents.google.com/patent/US8747947B2
US-8748843-B2,47676940,Nuflare Technology Inc,Charged particle beam drawing apparatus and charged particle beam drawing method,8/10/2011,Active,0.590387416,https://patents.google.com/patent/US8748843B2
US-8748871-B2,46490097,International Business Machines Corp,Graphene devices and semiconductor field effect  transistors in 3d hybrid integrated circuits,1/19/2011,Active,0.800409148,https://patents.google.com/patent/US8748871B2
US-8754382-B2,47879755,Canon Inc,Charged particle beam drawing apparatus and method of manufacturing article,9/21/2011,Expired - Fee Related,0.418725063,https://patents.google.com/patent/US8754382B2
US-8754397-B2,48571136,Nanoelectronic And Photonic Devices And Circuits Llc,Cnt-based electronic and photonic devices,12/7/2011,Active,0.426942896,https://patents.google.com/patent/US8754397B2
US-8759130-B2,49235564,Tsinghua University,,3/28/2012,Active,0.305885926,https://patents.google.com/patent/US8759130B2
US-8760056-B2,44464690,Sharp Corp,"Electron emitting element, devices utilizing said element, and method for producing said element",2/24/2010,Active,0.508372964,https://patents.google.com/patent/US8760056B2
US-8761343-B2,46199391,Electronics And Telecommunications Research Institute,Field emission x-ray tube and method of operating the same,12/10/2010,Active,0.831537622,https://patents.google.com/patent/US8761343B2
US-8769993-B2,45567443,Sumco Corp,Silicon electromagnetic casting apparatus,8/11/2010,Active,0.503479087,https://patents.google.com/patent/US8769993B2
US-8771630-B2,48870786,Enerage Inc,Method for the preparation of graphene,1/26/2012,Active,0.99704847,https://patents.google.com/patent/US8771630B2
US-8771889-B2,47143311,Intelligent Energy Inc,Hydrogen generator,10/26/2011,Active,0.586645796,https://patents.google.com/patent/US8771889B2
US-8772141-B2,48465987,International Business Machines Corp,Doping carbon nanotubes and graphene for improving electronic mobility,11/29/2011,Active,0.646494463,https://patents.google.com/patent/US8772141B2
US-8772181-B2,46757957,Japan Science And Technology Agency,"Method for producing graphene, graphene produced on substrate, and graphene on substrate",2/28/2011,Active,0.707763646,https://patents.google.com/patent/US8772181B2
US-8772734-B2,48654889,Canon Inc,"Charged particle beam lithography apparatus and method, and article manufacturing method",12/27/2011,Expired - Fee Related,0.563531569,https://patents.google.com/patent/US8772734B2
US-8772889-B2,50727072,International Business Machines Corp,Magnetic domain wall shift register memory device readout,11/20/2012,Active,0.600061743,https://patents.google.com/patent/US8772889B2
US-8778162-B2,44816001,Toshiba Corp,Stamper and method of manufacturing the same,4/27/2010,Expired - Fee Related,0.393734265,https://patents.google.com/patent/US8778162B2
US-8778715-B2,49774765,Radiation Detection Technologies Inc,Method of fabricating a neutron detector such as a microstructured semiconductor neutron detector,6/25/2012,Active,0.605791499,https://patents.google.com/patent/US8778715B2
US-8779765-B2,46314689,Federal State Budgetary Institution Federal Agency For Legal Protection Of Military Special And Dual Use Intellectual Activity Results,Method for generating spin waves,12/23/2010,Active,0.371009865,https://patents.google.com/patent/US8779765B2
US-8780683-B2,47009059,Panasonic Corp,"Information recording medium, tracking method, and optical information apparatus",4/11/2011,Active,0.422799559,https://patents.google.com/patent/US8780683B2
US-8783823-B2,45400188,Fujifilm Corp,Maintenance liquid,6/30/2010,Active,0.592246943,https://patents.google.com/patent/US8783823B2
US-8784515-B2,44719378,Honda Motor Co Ltd,In-situ coke removal,10/14/2010,Active,0.326886614,https://patents.google.com/patent/US8784515B2
US-8784930-B2,45888810,Far Eastern New Century Corp,Transparent conductive film having high optical transmittance and method for manufacturing the same,9/30/2010,Expired - Fee Related,0.561444613,https://patents.google.com/patent/US8784930B2
US-8784937-B2,45806992,Applied Nanostructured Solutions Llc,Glass substrates having carbon nanotubes grown thereon and methods for production thereof,9/14/2010,Active,0.655964636,https://patents.google.com/patent/US8784937B2
US-8785049-B2,45346198,Samsung Sdi Co Ltd,Negative active material for rechargeable lithium battery and rechargeable lithium battery including same,11/4/2010,Active,0.826014322,https://patents.google.com/patent/US8785049B2
US-8785230-B2,48694166,Korea Advanced Institute Of Science And Technology Kaist,Localized surface plasmon resonance sensor using chalcogenide materials and method for manufacturing the same,12/28/2011,Active,0.412203993,https://patents.google.com/patent/US8785230B2
US-8790440-B2,46018379,Raytheon Co,Forming spherical semiconductive nanoparticles,11/8/2010,Active,0.449682002,https://patents.google.com/patent/US8790440B2
US-8790948-B2,46199777,Hitachi Ltd,Method for manufacturing a solar cell,12/10/2010,Active,0.57040238,https://patents.google.com/patent/US8790948B2
US-8790958-B2,44559076,Samsung Display Co Ltd,Quantum dot organic light emitting device and method of fabricating the same,3/9/2010,Active,0.635312409,https://patents.google.com/patent/US8790958B2
US-8795620-B2,45582055,Ati Properties Llc,Systems and methods for recovering nitric acid from pickling solutions,2/15/2011,Expired - Fee Related,0.254365591,https://patents.google.com/patent/US8795620B2
US-8796642-B2,50772425,International Business Machines Corp,Carbon nanotubes with fluorescent surfactant,11/29/2012,Expired - Fee Related,0.457997764,https://patents.google.com/patent/US8796642B2
US-8796664-B2,50484520,Tsinghua University,Graphene-based composite structure and method for making the same,10/22/2012,Active,0.487636874,https://patents.google.com/patent/US8796664B2
US-8797059-B2,49043615,International Business Machines Corp,Implementing carbon nanotube based sensors for cryptographic applications,3/1/2012,Expired - Fee Related,0.576873269,https://patents.google.com/patent/US8797059B2
US-8802050-B2,46753520,Samsung Electro Mechanics Co Ltd,Method of manufacturing ceramic powder having perovskite structure and ceramic powder having perovskite structure manufactured using the same,3/2/2011,Active,0.474531399,https://patents.google.com/patent/US8802050B2
US-8802052-B2,45564956,National Cheng Kung University,,8/12/2010,Active,0.360266242,https://patents.google.com/patent/US8802052B2
US-8803088-B1,51207110,Texas Biochemicals Inc,Polycrystalline sintered nano-gran zinc sulfide ceramics for optical windows,3/2/2011,Active,0.62745945,https://patents.google.com/patent/US8803088B1
US-8803127-B2,45924424,Ud Holdings Llc,Superlattice quantum well infrared detector,10/11/2010,Active,0.544962024,https://patents.google.com/patent/US8803127B2
US-8803129-B2,47294495,International Business Machines Corp,Patterning contacts in carbon nanotube devices,10/11/2011,Active,0.592747494,https://patents.google.com/patent/US8803129B2
US-8803410-B2,49491674,Tsinghua University,Field emission device having entangled carbon nanotubes between a carbon nanotube layer and carbon nanotube array,5/4/2012,Active,0.323120382,https://patents.google.com/patent/US8803410B2
US-8805586-B2,44910349,Tata Consultancy Services Ltd,System for optimizing and controlling particle size distribution and for scale-up of nanoparticle production in an aerosol flame reactor,7/12/2010,Active,0.253827774,https://patents.google.com/patent/US8805586B2
US-8808579-B2,45528278,Fraunhofer Gesellschaft Zur Forderung Der Angewandten Forschung Ev,Method for producing a dispersion of nanoparticles,8/13/2010,Active,0.437605738,https://patents.google.com/patent/US8808579B2
US-8808901-B2,48744124,National Taiwan University Of Science And Technology,Anode protector of lithium-ion battery and method for fabricating the same,1/6/2012,Active,0.767059337,https://patents.google.com/patent/US8808901B2
US-8809230-B2,45527295,Lawrence Livermore National Security Llc,Porous substrates filled with nanomaterials,8/2/2010,Active,0.835816151,https://patents.google.com/patent/US8809230B2
US-8809746-B2,43971394,Mitsubishi Materials Corp,Apparatus for producing trichlorosilane and method for producing trichlorosilane,3/4/2010,Active,0.297145259,https://patents.google.com/patent/US8809746B2
US-8810770-B2,45328373,Canon Inc,Exposure apparatus and article manufacturing method,6/16/2010,Expired - Fee Related,0.385571562,https://patents.google.com/patent/US8810770B2
US-8815267-B2,47911526,Korea Institute Of Geoscience And Mineral Resources Kigam,"Hybrid powder of halloysite nanotube and light-scattering nanoparticle, method for preparing the same, and uv-screening cosmetic composition containing the same as active ingredient",9/26/2011,Active,0.343484344,https://patents.google.com/patent/US8815267B2
US-8815272-B2,46985097,Korea Advanced Institute Of Science And Technology Kaist,Recyclable porous bead—satellite nanoparticle composite and fabrication method thereof,4/12/2011,Active,0.964467628,https://patents.google.com/patent/US8815272B2
US-8816043-B2,47913788,Oceans King Lighting Science And Technology Co Ltd,"Difluoro benzotriazolyl solar cell material, preparation method and use thereof",9/23/2011,Active,0.280047672,https://patents.google.com/patent/US8816043B2
US-8816194-B2,45327590,Semiconductor Energy Laboratory Co Ltd,Photoelectric conversion device and manufacturing method thereof,6/18/2010,Active,0.472016243,https://patents.google.com/patent/US8816194B2
US-8821773-B2,49946375,Bluestone Global Tech Hong Kong Ltd,Graphene composite electrodes for energy storage devices,7/20/2012,Active - Reinstated,0.617188164,https://patents.google.com/patent/US8821773B2
US-8822262-B2,48653367,Sunpower Corp,Fabricating solar cells with silicon nanoparticles,12/22/2011,Active,0.337002601,https://patents.google.com/patent/US8822262B2
US-8827400-B2,44649361,Fujifilm Corp,"Liquid application apparatus, liquid application method and imprinting system",3/17/2010,Active,0.531699369,https://patents.google.com/patent/US8827400B2
US-8827686-B2,45525922,Hitachi High Technologies Corp,Imprinting apparatus and imprint transfer method,7/27/2010,Expired - Fee Related,0.488663429,https://patents.google.com/patent/US8827686B2
US-8828193-B2,47752279,Indian Institutes Of Technology,,9/6/2011,Active,0.527589501,https://patents.google.com/patent/US8828193B2
US-8828279-B1,51455125,Bowling Green State University,Colloids of lead chalcogenide titanium dioxide and their synthesis,4/12/2010,Expired - Fee Related,0.311086588,https://patents.google.com/patent/US8828279B1
US-8828349-B2,46795760,Honda Motor Co Ltd,"Substrate for growing carbon nanotubes, manufacturing method thereof, and manufacturing method of oriented carbon nanotubes",3/7/2011,Active,0.409838691,https://patents.google.com/patent/US8828349B2
US-8828488-B2,48136214,National Institute For Materials Science,"Methods for producing a thin film consisting of nanosheet monolayer film(s) by spin coat methods, and hyperhydrophilized materials, substrates for an oxide thin film and dielectric materials obtained therefrom",10/25/2011,Active,0.673180704,https://patents.google.com/patent/US8828488B2
US-8829341-B2,45530553,Lg Innotek Co Ltd,Solar cell and method for manufacturing same,7/30/2010,Active,0.711460773,https://patents.google.com/patent/US8829341B2
US-8829492-B2,46024610,Chungbuk National University Industryacademic Cooperation Fdn,,11/5/2010,Active,0.62364324,https://patents.google.com/patent/US8829492B2
US-8834737-B2,48674821,Tsinghua University,Method for making carbon nanotube composite films,12/28/2011,Active,0.325926394,https://patents.google.com/patent/US8834737B2
US-8834959-B2,47073012,Michigan State University,Method for the preparation of doped single graphene sheets,4/26/2011,Active,0.603556975,https://patents.google.com/patent/US8834959B2
US-8834967-B2,51183914,International Business Machines Corp,Method of forming graphene nanomesh,1/18/2013,Active,0.844936543,https://patents.google.com/patent/US8834967B2
US-8835089-B2,48136236,Canon Inc,"Toner and method for producing the same, and two-component type developer",10/19/2011,Active,0.607948304,https://patents.google.com/patent/US8835089B2
US-8836046-B2,50824631,Samsung Electronics Co Ltd,Semiconductor devices including protruding insulation portions between active fins,11/30/2012,Active,0.969854986,https://patents.google.com/patent/US8836046B2
US-8839659-B2,45924058,Northern Illinois University,Sensors and devices containing ultra-small nanowire arrays,10/8/2010,Active,0.532612399,https://patents.google.com/patent/US8839659B2
US-8840771-B2,45021071,New York University,"Electrochemical method for depositing nanofibrilar poly(3,4-ethylenedioxythiophene) (pedot) hole extraction layer in organic solar cells",4/30/2010,Active,0.572991866,https://patents.google.com/patent/US8840771B2
US-8840858-B2,46583005,Corning Inc,Apparatus for mixing vaporized precursor and gas and method therefor,7/6/2011,Active,0.38707784,https://patents.google.com/patent/US8840858B2
US-8846437-B2,45888752,Applied Materials Inc,High efficiency thin film transistor device with gallium arsenide layer,10/1/2010,Active,0.860344688,https://patents.google.com/patent/US8846437B2
US-8847178-B2,47991694,Nuflare Technology Inc,Charged particle beam writing apparatus and charged particle beam writing method,9/29/2011,Active,0.406513747,https://patents.google.com/patent/US8847178B2
US-8847180-B2,49003240,Canon Inc,"Charged particle beam apparatus, drawing apparatus, and method of manufacturing article",2/28/2012,Expired - Fee Related,0.457916117,https://patents.google.com/patent/US8847180B2
US-8848754-B2,51420932,Wisconsin Alumni Research Foundation,Multiquantum well structures for suppression of electron leakage and reduction of threshold-current density in quantum cascade lasers,8/22/2012,Active,0.524256721,https://patents.google.com/patent/US8848754B2
US-8852539-B2,46931649,Korea Institute Of Energy Research Kier,Second stage fischer-tropsch reaction system to enhance the conversion of synthetic gas,4/1/2011,Active,0.594170422,https://patents.google.com/patent/US8852539B2
US-8852675-B2,44833649,Oceans King Lighting Science And Technology Co Ltd,Preparation method for copper oxide nanowires,4/23/2010,Active,0.240800229,https://patents.google.com/patent/US8852675B2
US-8852809-B2,44786150,Samsung Sdi Co Ltd,Positive electrode for rechargeable lithium battery with high voltage and rechargeable lithium battery including same,7/2/2010,Active,0.455526855,https://patents.google.com/patent/US8852809B2
US-8853096-B2,48171322,Tsinghua University,Manufacturing method of grating,10/28/2011,Active,0.678859933,https://patents.google.com/patent/US8853096B2
US-8858778-B2,48796356,Nu Promethean Technologies Inc,Method for dna defined etching of a graphene nanostructure,1/19/2012,Active,0.237508895,https://patents.google.com/patent/US8858778B2
US-8858859-B2,44857611,Lg Display Co Ltd,Apparatus and method of fabricating flat panel display device,4/30/2010,Active,0.677127745,https://patents.google.com/patent/US8858859B2
US-8859050-B2,46828673,University Of Missouri System,Patterning of ultra-low refractive index high surface area nanoparticulate films,3/14/2011,Active,0.441510077,https://patents.google.com/patent/US8859050B2
US-8859058-B2,43598947,Element Six Ltd,Microwave plasma reactors and substrates for synthetic diamond manufacture,12/23/2010,Active,0.793634888,https://patents.google.com/patent/US8859058B2
